Country/Territory,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
El Salvador,35333,2024,34016,2023,32488,2022
Zimbabwe,34405,2024,26538,2023,26418,2022
Cyprus,34221,[n 10]2024,32230,[n 10]2023,29210,[n 10]2022
Iceland,33338,2024,31020,2023,28064,2022
Georgia,32865,[n 11]2024,30536,[n 11]2023,24605,[n 11]2022
Papua New Guinea,31716,2024,30933,2022,31609,2022
Zambia,29872,2024,28163,2023,29136,2022
Bosnia and Herzegovina,29078,2024,27055,2023,24473,2022
Trinidad and Tobago,28365,2024,28140,2023,30053,2022
Sudan,26865,2024,109327,2023,36729,2022
Guinea,25447,2024,23612,2023,20846,2022
Albania,25431,2024,22978,2023,18916,2022
Armenia,25408,2024,24212,2023,19513,2022
Haiti,24046,2024,19851,2023,18751,2022
Mozambique,22975,2024,20625,2023,18406,2022
Malta,22737,2024,20957,2023,18100,2022
Mongolia,21943,2024,19872,2023,17146,2022
Burkina Faso,21902,2024,20325,2023,19176,2022
Lebanon,21780,2022,17937,2023,39303,2022
Mali,21662,2024,20905,2023,18827,2022
Botswana,21418,2024,19396,2023,20352,2022
Benin,21371,2024,19673,2023,17396,2022
Guyana,21178,2024,16786,2023,14718,2022
Gabon,21013,2024,20516,2023,20132,2022
Jamaica,20098,2024,19423,2023,17097,2022
Nicaragua,18829,2024,17829,2023,15671,2022
Niger,18816,2024,16819,2023,15414,2022
Chad,18697,2024,13149,2023,16799,2022
Palestine,18602,[n 12]2023,17396,[n 12]2023,19111,[n 13]2022
Moldova,18356,[n 14]2024,16539,[n 14]2023,14510,[n 14]2022
Yemen,16940,2024,—,—,11007,2022
Madagascar,16465,2024,16032,2023,14954,2022
Mauritius,16359,2024,14397,2023,12898,2022
North Macedonia,15873,2024,14761,2023,13711,2022
Brunei,15510,2024,15128,2023,16681,2022
Congo,15501,2024,15321,2023,15344,2022
Laos,15190,2024,15843,2023,15362,2022
North Korea,—,—,—,—,15176,2022
Afghanistan,14467,2022,14502,2022,14174,2022
Bahamas,14390,2024,14339,2023,12897,2022
Rwanda,13701,2024,14098,2023,13312,2022
Kyrgyzstan,13599,2024,13988,2023,10930,2022
Tajikistan,12953,2024,12061,2023,10492,2022
Somalia,12804,2024,11680,2023,10420,2022
Namibia,12765,2024,12351,2023,12607,2022
Kosovo,11318,2024,10438,2023,9397,2022
Malawi,11241,2024,14084,2023,12558,2022
Equatorial Guinea,10708,2024,12117,2023,11767,2022
Mauritania,10628,2024,10453,2023,10997,2022
Togo,9832,2024,9171,2023,8087,2022
New Caledonia,—,—,9623,2022,9623,2022
Syria,—,—,8980,2021,18595,2022
Monaco,—,—,8784,2022,8772,2022
Montenegro,8010,2024,7405,2023,6229,2022
Liechtenstein,—,—,7365,2022,7757,2022
Bermuda,—,—,7828,2022,7546,2022
Maldives,7199,2024,6600,2023,6170,2022
Barbados,6863,2024,6394,2023,5699,2022
Cayman Islands,—,—,6601,2022,6281,2022
South Sudan,6517,2024,—,—,4616,2022
French Polynesia,—,—,5815,2022,5814,2022
Fiji,5801,2024,5495,2023,4979,2022
Eswatini,5085,2024,4598,2023,4326,2022
Liberia,4754,2024,4332,2023,3265,2022
Sierra Leone,4558,2024,3810,2023,3481,2022
Djibouti,4364,2024,4099,2023,4003,2022
Suriname,4337,2024,3782,2023,3620,2022
Aruba,4069,2024,3545,2022,3544,2022
Andorra,3897,2024,3728,2023,3376,2022
Belize,3296,2024,3282,2023,2830,2022
Greenland,—,—,3236,2021,2926,2022
Bhutan,3110,2024,2898,2022,2898,2022
Curaçao,—,—,3074,2022,3075,2022
Burundi,3075,2024,2642,2023,4032,2022
Central African Republic,2810,2024,2555,2023,2395,2022
Cape Verde,2718,2024,2587,2023,2314,2022
Gambia,2694,2024,2340,2023,2231,2022
Saint Lucia,2582,2024,2520,2023,2165,2022
Lesotho,2395,2024,2046,2023,2287,2022
Eritrea,—,—,—,—,2383,2022
Zanzibar,—,—,—,—,2361,2022
Seychelles,2203,2024,2141,2023,1994,2022
Guinea-Bissau,2151,2024,1966,2023,1574,2022
Antigua and Barbuda,2127,2024,2033,2023,1770,2022
San Marino,2033,2024,1855,2021,1780,2022
East Timor,1992,2024,2243,2023,3204,2022
Solomon Islands,1707,2024,1631,2023,1597,2022
Sint Maarten,—,—,1623,2023,1572,2022
Comoros,1422,2024,1352,2023,1246,2022
Grenada,1406,2024,1320,2023,1192,2022
Turks and Caicos Islands,—,—,1402,2023,1138,2022
Vanuatu,1289,2024,1126,2023,985,2022
Saint Kitts and Nevis,1134,2024,1077,2023,979,2022
Saint Vincent and the Grenadines,1128,2024,1066,2023,946,2022
Samoa,1024,2024,934,2023,857,2022
São Tomé and Príncipe,751,2024,603,2023,546,2022
Dominica,708,2024,654,2023,612,2022
Tonga,581,2024,500,2022,488,2022
Micronesia,484,2024,460,2023,427,2022
Kiribati,311,2024,279,2023,223,2022
Palau,308,2024,263,2023,225,2022
Marshall Islands,305,2024,284,2023,279,2022
Nauru,161,2024,154,2023,147,2022
Tuvalu,66,2024,62,2023,59,2022
